client,sales_document,sales_document_item,delivery_schedule_line_num,schedule_line_category,item_relevant_delivery,schedule_line_date,arrival_time,order_quantity_in_sales_units,confirmed_quantity,sales_unit,req_quan_mgmt_stockk_units,base_uom,requirement_date,requirement_type,planning_type,business_document_number,business_item_number,schedule_line,earliest_possible_reservation_date,maintenance_request,purchase_requisition_num,order_type,purchasing_document_category,confirmation_status_of_schedule_line,invoice_receipt_indicator,return_date_for_returnable_packaging,date_type,transportation_planning_date,material_staging,loading_date,goods_issue_date,corrected_quantity_in_sales_unit,schedule_line_blocked_for_delivery,group_definition_of_structure_data,release_type,forecast_delivery_schedule_num,committed_quantity,size_2,size_3,unit_of_measure,formula_key,numerator_for_conversion_sales_sku,denominator_for_conversion_sales_sku,availability_confirmed_automatically,movement_type,item_num_purchase_requisition,schedule_line_type_edi,order_number,planned_order_number,bom_explosion_number,customer_engineering_change_status,guaranteed,material_staging_time,transp_planning_time,loading_time,time_of_goods_issue,route_schedule,handover_date,handover_time,matr_availability_date,is_quarantined
100,0003935521,220,1,CP,X,2007-10-02 05:00:00.000000,2024-05-01 05:00:00.000000,70.000,70.000,CS,70.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2007-09-29 05:00:00.000000,2007-10-02 05:00:00.000000,2007-10-02 05:00:00.000000,2007-10-02 05:00:00.000000,70.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208546,30,1,CP,X,2022-06-08 05:00:00.000000,2024-05-01 21:00:00.000000,75.000,75.000,CS,75.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-06-06 05:00:00.000000,2022-06-08 05:00:00.000000,2022-06-08 05:00:00.000000,2022-06-08 05:00:00.000000,75.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0003936522,120,1,CD, ,2007-10-02 05:00:00.000000,2024-05-01 05:00:00.000000,144.000,0.000,CS,0.000,CS,1900-01-01 06:00:00.000000, , , ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2007-09-29 05:00:00.000000,2007-10-02 05:00:00.000000,2007-10-02 05:00:00.000000,2007-10-02 05:00:00.000000,144.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X, ,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208551,10,1,CP,X,2022-06-03 05:00:00.000000,2024-05-01 21:00:00.000000,1008.000,1008.000,CS,1008.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-06-01 05:00:00.000000,2022-06-03 05:00:00.000000,2022-06-03 05:00:00.000000,2022-06-03 05:00:00.000000,1008.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 22:00:00.000000,2024-05-01 22:00:00.000000,2024-05-01 22:00:00.000000,2024-05-01 22:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0003953773,400,1,CP,X,2009-01-28 06:00:00.000000,2024-05-01 21:00:00.000000,1.000,1.000,CS,1.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2009-01-22 06:00:00.000000,2009-01-26 06:00:00.000000,2009-01-26 06:00:00.000000,2009-01-26 06:00:00.000000,1.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-02 01:00:00.000000,2024-05-02 01:00:00.000000,2024-05-02 01:00:00.000000,2024-05-02 01:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208566,70,1,CP,X,2022-05-30 05:00:00.000000,2024-05-01 21:00:00.000000,135.000,135.000,CS,135.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-05-27 05:00:00.000000,2022-05-29 05:00:00.000000,2022-05-29 05:00:00.000000,2022-05-29 05:00:00.000000,135.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-02 04:59:58.000000,2024-05-02 04:59:57.000000,2024-05-02 04:59:58.000000,2024-05-02 04:59:58.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0003970660,10,1,CP,X,2007-10-01 05:00:00.000000,2024-05-01 05:00:00.000000,1920.000,0.000,CS,0.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2007-09-27 05:00:00.000000,2007-10-01 05:00:00.000000,2007-10-01 05:00:00.000000,2007-10-01 05:00:00.000000,1920.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208566,110,1,CP,X,2022-05-30 05:00:00.000000,2024-05-01 21:00:00.000000,120.000,48.000,CS,48.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-05-27 05:00:00.000000,2022-05-29 05:00:00.000000,2022-05-29 05:00:00.000000,2022-05-29 05:00:00.000000,120.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-02 04:59:58.000000,2024-05-02 04:59:57.000000,2024-05-02 04:59:58.000000,2024-05-02 04:59:58.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0003982220,550,1,CP,X,2008-03-28 05:00:00.000000,2024-05-01 05:00:00.000000,24.000,24.000,CS,24.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2008-03-25 05:00:00.000000,2008-03-27 05:00:00.000000,2008-03-27 05:00:00.000000,2008-03-27 05:00:00.000000,24.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208573,260,1,CP,X,2022-06-01 05:00:00.000000,2024-05-01 21:00:00.000000,180.000,180.000,CS,180.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-05-29 05:00:00.000000,2022-06-01 05:00:00.000000,2022-06-01 05:00:00.000000,2022-06-01 05:00:00.000000,180.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 21:00:00.000000,2024-05-01 20:59:58.000000,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
