client,material_num,plant,storage_location,batch_num,special_stock_ind,sales_distribution_document_num,sd_document_item_num,current_period_fiscal_year,current_period,kalab,kains,kaspe,kaein,is_quarantined
100,000000000389832643,5617,0001,5617125710,E,0010827180,10,2022,3,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617125810,E,0010827168,10,2022,3,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617125810,E,0010827180,10,2022,3,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617127710,E,0010859970,10,2022,4,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617128410,E,0010870916,10,2022,4,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617128610,E,0010870918,10,2022,4,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617129110,E,0010879318,10,2022,4,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617129210,E,0010879292,10,2022,4,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617129210,E,0010879294,10,2022,4,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617129810,E,0010891781,10,2022,5,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617130110,E,0010891784,10,2022,5,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617130510,E,0010900003,10,2022,5,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617131410,E,0010929265,10,2022,5,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617132110,E,0010938631,10,2022,6,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617132610,E,0010944698,10,2022,6,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617133410,E,0010956898,10,2022,6,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617133610,E,0010956902,10,2022,6,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617134310,E,0010964856,10,2022,6,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617134310,E,0010964859,10,2022,6,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617134810,E,0010964861,10,2022,6,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617135410,E,0010977762,10,2022,6,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617135610,E,0010986889,10,2022,7,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617136110,E,0011006902,10,2022,7,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617200410,E,0010993275,10,2022,7,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617201210,E,0011007738,10,2022,7,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617201810,E,0011016825,10,2022,7,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617202410,E,0011020927,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617202710,E,0011042861,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617203110,E,0011043513,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617203210,E,0011043513,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617203210,E,0011055331,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617203410,E,0010990748,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617203810,E,0010990746,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617203810,E,0011057774,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617204310,E,0011066780,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617204310,E,0011066892,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617204310,E,0011087377,10,2022,9,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617204910,E,0011066892,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617205410,E,0011077184,10,2022,8,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617206110,E,0011077287,10,2022,9,0.000,0.000,0.000,0.000,false
100,000000000389832643,5617,0001,5617206110,E,0011087381,10,2022,9,0.000,0.000,0.000,0.000,false
