shipment_gid,shipment_xid,shipment_name,transport_mode_gid,is_template,is_primary,is_spot_costed,is_credit_note,cm_prev_dest_location_gid,cm_next_source_location_gid,t_actual_cost_currency_gid,t_weighted_cost_currency_gid,total_trans_cost_currency_gid,loaded_distance_uom_code,unloaded_distance_uom_code,source_location_gid,dest_location_gid,start_time,end_time,freight_terms,parent_leg_gid,voyage_gid,servprov_gid,rate_offering_gid,rate_geo_gid,original_shipment_gid,shipment_group_gid,is_auto_merge_consolidate,perspective,flight_instance_id,total_weight_uom_code,total_volume_uom_code,total_ship_unit_count,total_packaging_unit_count,total_item_package_count,intermediary_corporation_gid,shipment_type_gid,route_code_combination_gid,rail_inter_modal_plan_gid,customer_rate_code,cofc_tofc,rail_return_location_gid,rail_return_route_gid,rule_11_indicator,current_stop_num,shipment_as_work,secondary_charge_rule_gid,check_time_constraint,check_cost_constraint,check_capacity_constraint,cm_name,cm_sequence_num,cm_cost,cm_cost_currency_gid,cm_cost_base,cm_empty_distance,cm_empty_distance_uom_code,cm_empty_distance_base,hazmat_mode_gid,hazmat_region_gid,weigh_code,rule_7,shipment_released,processing_code_gid,air_rail_route_code,payment_method_code_gid,inco_term_gid,dim_weight,dim_weight_uom_code,dim_weight_base,planned_cost_currency_gid,term_location_text,tariff_organization_number,tariff_organization_name,tariff_name,tariff_number,tariff_date,is_hazardous,is_temperature_control,is_cost_fixed,is_service_time_fixed,is_rate_geo_fixed,is_rate_offering_fixed,is_servprov_fixed,is_preload,is_fixed_tender_contact,is_to_be_held,is_preferred_carrier,is_equipment_fixed,is_recalc_totals,has_appointments,indicator,contact_gid,bulk_plan_gid,total_num_reference_units,itinerary_gid,feasibility_code_gid,num_order_releases,num_stops,total_net_weight_uom_code,total_net_volume_uom_code,earliest_start_time,latest_start_time,last_event_group_gid,repetition_schedule_gid,in_trailer_build,first_equipment_group_gid,bulk_cm_gid,vessel_gid,user_defined1_icon_gid,user_defined2_icon_gid,user_defined3_icon_gid,user_defined4_icon_gid,user_defined5_icon_gid,source_location_override_gid,dest_location_override_gid,equipment_reference_unit_gid,schedule_type,job_gid,port_of_load_location_gid,port_of_load_override_loc_gid,port_of_dis_location_gid,port_of_dis_override_loc_gid,insurance_policy_number,insurance_amount,insurance_amount_currency_gid,insurance_amount_base,insurance_premium,insurance_premium_currency_gid,insurance_premium_base,bol_type,bol_issuance_type,consol_gid,place_receipt_location_gid,place_deliver_location_gid,sail_date,rail_date,sail_cutoff_date,port_discharge_eta,port_of_exit_date,port_exit_loc_gid,container_delivery_loc_gid,container_pickup_loc_gid,nfrc_rule_gid,is_cpcty_override_applicable,planned_rate_offering_gid,planned_transport_mode_gid,planned_servprov_gid,planned_rate_geo_gid,is_permanent,is_memo_bl,duty_paid,exchange_rate_date,currency_gid,exchange_rate_gid,tot_matched_inv_cost_curr_gid,original_invoice_cost_curr_gid,total_approved_cost_curr_gid,source_pier_location_gid,dest_pier_location_gid,primary_order_base_gid,total_declared_value_gid,is_profit_split,shipping_agent_contact_gid,is_advanced_charge,load_config_engine_type_gid,appointment_priority_gid,is_fixed_distance,delivering_servprov_gid,originating_servprov_gid,chargeable_weight_uom_code,cm_cost_fn,cm_cost_fn_currency_gid,total_actual_c_fn,total_actual_c_fn_currency_gid,total_trans_c_fn,total_trans_c_fn_currency_gid,total_wt_cost_fn,total_wt_cost_fn_currency_gid,planned_cost_fn,planned_cost_fn_currency_gid,insurance_amt_fn,insurance_amt_fn_currency_gid,insurance_prem_fn,insurance_prem_fn_currency_gid,tot_match_inv_fn,tot_match_inv_fn_currency_gid,original_inv_c_fn,original_inv_c_fn_currency_gid,total_app_cost_fn,total_app_cost_fn_currency_gid,fixed_service_days,sighting_location_gid,sighting_date,prev_sighting_location_gid,prev_sighting_date,driver_gid,secondary_driver_gid,power_unit_gid,marked_for_purge,driver_assign_bulk_plan_gid,equipment_assign_bulk_plan_gid,prev_drop_inventory_processed,pick_inventory_processed,drop_inventory_processed,dim_volume,dim_volume_uom_code,dim_volume_base,chargeable_volume_uom_code,domain_name,insert_user,insert_date,update_user,update_date,planning_parameter_set_gid,num_equipment_ordered,em_phone_number,parcel_zone,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute_number1,attribute_number2,attribute_number3,attribute_number4,attribute_number5,attribute_number6,attribute_number7,attribute_number8,attribute_number9,attribute_number10,attribute_date1,attribute_date2,attribute_date3,attribute_date4,attribute_date5,attribute_date6,attribute_date7,attribute_date8,attribute_date9,attribute_date10,attribute_currency1,attribute_currency1_gid,attribute_currency1_base,attribute_currency2,attribute_currency2_gid,attribute_currency2_base,attribute_currency3,attribute_currency3_gid,attribute_currency3_base,combination_equip_grp_gid,si_cutoff_date,cfs_cutoff_date,src_arb_level_of_service_gid,dest_arb_level_of_service_gid,cfs_location_gid,is_fixed_voyage,job_name,load_date,ahead_late_time,ahead_late_time_base,ahead_late_time_uom_code,ahead_or_late,attribute_date11,attribute_date12,attribute_date13,attribute_date14,attribute_date15,attribute_date16,attribute_date17,attribute_date18,attribute_date19,attribute_date20,attribute_number11,attribute_number12,attribute_number13,attribute_number14,attribute_number15,attribute_number16,attribute_number17,attribute_number18,attribute_number19,attribute_number20,equipment_destination,eta_date,external_voyage_code,first_equipment_initial,first_equipment_number,is_ar_route_code_fixed,prev_equipment_destination,prev_reported_bs_status_code,prev_reporting_scac,projected_tour_name,reported_bs_status_code,reporting_scac,reservation_num,sole_packaged_item_gid,waybill_date,work_assignment_bulk_plan_gid,total_actual_cost,total_actual_cost_base,total_weighted_cost,total_weighted_cost_base,total_trans_cost,total_trans_cost_base,loaded_distance,loaded_distance_base,unloaded_distance,unloaded_distance_base,total_weight,total_weight_base,total_volume,total_volume_base,planned_cost,planned_cost_base,total_net_weight,total_net_weight_base,total_net_volume,total_net_volume_base,weight_utilization,volume_utilization,equip_ref_unit_utilization,tot_matched_invoice_cost,tot_matched_invoice_cost_base,original_invoice_cost,original_invoice_cost_base,total_approved_cost,total_approved_cost_base,total_declared_value,total_declared_value_base,chargeable_weight,chargeable_weight_base,chargeable_volume,chargeable_volume_base,projected_tour_sequence_num,max_num_retender
RC3.703031715N,703031715N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.0003064180,RC3.5016,2024-07-08 11:00:00,2024-07-08 12:00:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,3,0,3480,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,PPA,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.CPU,,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-05-28 18:28:04,2024-07-09 0:00:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ADMIN,2024-05-28 13:28:07,RC3.ADMIN,2024-05-28 13:28:27,RC3.CAG_CPU,,,,,,RC3.INBOUND_PO,,1,,,,,20240708 23:59,CAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000000010011542,,,0.01,0.01,10000.01,10000.01,,,618,618,0.00E+00,0.00E+00,3604.29,3604.29,8.43,8.43,0.01,0.01,3480,3480,0.144,0.144,0.00004,0.00E+00,0.00E+00,,,,,,,0.00E+00,0.00E+00,3604.29,3604.29,8.43,8.43,,
RC3.703033305N,703033305N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.0001037990,RC3.2101,2024-06-13 3:01:00,2024-06-13 4:01:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,25,0,94500,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,PPD,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.CPU,,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-05-28 21:59:14,2024-06-14 2:59:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ADMIN,2024-05-28 17:59:17,RC3.ADMIN,2024-05-28 17:59:22,RC3.CAG_CPU,,,,,,RC3.INBOUND_PO,,1,,,,,20240613 23:59,CAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000000010051030,,,0.01,0.01,10000.01,10000.01,,,262,262,0.00E+00,0.00E+00,5188.5,5188.5,395.475,395.475,0.01,0.01,4063.5,4063.5,320.475,320.475,0.00005,0.00E+00,0.00E+00,,,,,,,0.00E+00,0.00E+00,5188.5,5188.5,395.475,395.475,,
RC3.703032567N,703032567N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.2164,RC3.3881,2024-06-01 1:16:17,2024-06-01 5:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.RCTH,RC3.RCTH_TL_RATEOFFERING,RC3.RCTH_2164-3881_53_DRY,,,N,B,,LB,CUFT,50,0,50,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.56180021,RC3.20240528-0077,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-05-31 5:01:00,2024-06-01 4:59:00,ACCEPTED,,N,RC3.53_DRY,,,ACCEPTED,,,UTILIZATION_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.RCTH_TL_RATEOFFERING,TL,RC3.RCTH,RC3.RCTH_2164-3881_53_DRY,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZJR4011,2024-05-28 16:18:37,RC3.ADMIN,2024-05-28 17:52:46,RC3.CAG_OB,,,,,,RC3.OUTBOUND_STO,,1,,,,,20240601 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000007543602101,,,1244.27,1244.27,1244.27,1244.27,,,206,206,0.00E+00,0.00E+00,36000,36000,150.05,150.05,1244.27,1244.27,32500,32500,0.05,0.05,0.78261,0.03949,0.00E+00,,,,,,,0.00E+00,0.00E+00,36000,36000,150.05,150.05,,
RC3.570868684C,570868684C,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.3926,RC3.0020038433,2024-05-28 17:00:00,2024-05-28 18:00:00,,,,RC3.ESHL,RC3.ESHL_TL_RATEOFFERING,RC3.ESHL_3926-PA19507_53_DRY,,,N,B,,LB,CUFT,61,0,34958,,TRANSPORT,,,,,,,,,N,,Y,Y,N,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,,,,,FEASIBLE,1,2,LB,CUFT,,,MISC,,N,,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.ESHL_TL_RATEOFFERING,TL,RC3.ESHL,RC3.ESHL_3926-PA19507_53_DRY,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.SA_SI,2024-05-28 12:41:01,RC3.ADMIN,2024-05-28 12:41:21,,,,,,,RC3.OUTBOUND_SO,,1,,,,PGI COMPLETE,20240528 23:59,CAG,,,,,,,RESEND_ACCRUAL,,,59.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,707.35,707.35,707.35,707.35,,,56,56,0.00E+00,0.00E+00,38320.175,38320.175,2743.325,2743.325,0.00E+00,0.00E+00,34200.464,34200.464,2566.766,2566.766,0.00E+00,0.00E+00,0.00E+00,,,,,,,0.00E+00,0.00E+00,38320.175,38320.175,2743.325,2743.325,,
RC3.703032465N,703032465N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.0003062877,RC3.4254,2024-06-16 3:03:40,2024-06-16 5:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.HGTN,RC3.HGTN_TL_RATEOFFERING,RC3.HGTN_MO630-IL624_53_DRY,,,N,B,,LB,CUFT,8,0,19800,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,COL,FOB,,,,USD,ORIGIN,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.HGTN,RC3.INBOUND BULK PLAN-20240528160021,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-05-18 0:38:29,2024-06-17 3:01:40,PICKUP APPOINTMENT TIME,,N,RC3.53_DRY,,,ACCEPTED,,,UTILIZATION_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.HGTN_TL_RATEOFFERING,TL,RC3.HGTN,RC3.HGTN_MO630-IL624_53_DRY,N,Y,NA,,USD,DEFAULT,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.UAFIREOTMRC3ADM,2024-05-28 16:02:30,DBA.ADMIN,2024-05-28 17:06:35,RC3.CAG_IB,,,,,,RC3.INBOUND_PO,,1,,,,,20240616 23:59,CAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000000010108272,,,410,410,410,410,,,88,88,0.00E+00,0.00E+00,3240.496,3240.496,1098.104,1098.104,410,410,2890.8,2890.8,1074.792,1074.792,0.07045,0.28897,0.00E+00,,,,,,,0.00E+00,0.00E+00,3240.496,3240.496,1098.104,1098.104,,
RC3.703032967N,703032967N,,INTRMDL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.4237,RC3.4269,2024-06-03 5:01:00,2024-06-07 5:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.ENGI,RC3.ENGI_IM_RATEOFFERING,RC3.ENGI_WI531-4269_53RCON,,,N,B,,LB,CUFT,28,0,5800,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.ENGI,RC3.12_00 PM STO BULK PLAN-20240528170023,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-03 5:01:00,2024-06-04 3:59:00,ACCEPTED,,N,RC3.53RCON,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.ENGI_IM_RATEOFFERING,INTRMDL,RC3.ENGI,RC3.ENGI_WI531-4269_53RCON,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.UAFIREOTMRC3ADM,2024-05-28 17:03:51,RC3.ADMIN,2024-05-28 17:48:37,RC3.CAG_OB,,,,,,RC3.OUTBOUND_STO,,1,,,,,20240607 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,2249,2249,2249,2249,,,808,808,0.00E+00,0.00E+00,38212.776,38212.776,2547.88,2547.88,2249,2249,36252.776,36252.776,2463.88,2463.88,0.87845,0.61336,0.00E+00,,,,,,,0.00E+00,0.00E+00,38212.776,38212.776,2547.88,2547.88,,
RC3.703032842N,703032842N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.4238,RC3.4269,2024-06-04 5:01:00,2024-06-06 6:45:43,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.LNNP,RC3.LNNP_TL_RATEOFFERING,RC3.LNNP_4238-4269_53_REF,,,N,B,,LB,CUFT,30,0,3600,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.LNNP,RC3.12_00 PM STO BULK PLAN-20240528170023,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-04 5:01:00,2024-06-05 2:14:17,ACCEPTED,,N,RC3.53_REF,,,ACCEPTED,,,UTILIZATION_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.LNNP_TL_RATEOFFERING,TL,RC3.LNNP,RC3.LNNP_4238-4269_53_REF,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.UAFIREOTMRC3ADM,2024-05-28 17:03:15,RC3.ADMIN,2024-05-28 17:52:26,RC3.CAG_OB,,,,,,RC3.OUTBOUND_STO,,1,,,,,20240606 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000005827620253,,,3200,3200,3200,3200,,,1196,1196,0.00E+00,0.00E+00,36300,36300,2350.8,2350.8,3200,3200,34200,34200,2260.8,2260.8,0.80667,0.67166,0.00E+00,,,,,,,0.00E+00,0.00E+00,36300,36300,2350.8,2350.8,,
RC3.703032042N,703032042N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.4226,RC3.4237,2024-06-14 5:01:00,2024-06-14 6:01:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,27,0,1,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,COL,,,,,USD,,,,,,,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,G,RC3.CPU,,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-06-14 5:01:00,2024-06-15 3:59:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ADMIN,2024-05-28 15:07:36,RC3.ADMIN,2024-05-28 15:07:39,RC3.CAG_CPU,,,,,,RC3.INBOUND_STO,,1,,,,,20240614 23:59,CAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000000001019252,,,0.01,0.01,10000.01,10000.01,,,1,1,0.00E+00,0.00E+00,41866.686,41866.686,80.757,80.757,0.01,0.01,39999.987,39999.987,0.756,0.756,0.00042,0.00E+00,0.00E+00,,,,,,,0.00E+00,0.00E+00,41866.686,41866.686,80.757,80.757,,
RC3.703032823N,703032823N,,INTRMDL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.4237,RC3.4269,2024-06-03 5:01:00,2024-06-07 5:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.ENGI,RC3.ENGI_IM_RATEOFFERING,RC3.ENGI_WI531-4269_53RCON,,,N,B,,LB,CUFT,28,0,6288,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.ENGI,RC3.12_00 PM STO BULK PLAN-20240528170023,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-03 5:01:00,2024-06-04 3:59:00,ACCEPTED,,N,RC3.53RCON,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.ENGI_IM_RATEOFFERING,INTRMDL,RC3.ENGI,RC3.ENGI_WI531-4269_53RCON,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.UAFIREOTMRC3ADM,2024-05-28 17:03:09,RC3.ADMIN,2024-05-28 17:48:45,RC3.CAG_OB,,,,,,RC3.OUTBOUND_STO,,1,,,,,20240607 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,2249,2249,2249,2249,,,808,808,0.00E+00,0.00E+00,38689.224,38689.224,2570.064,2570.064,2249,2249,36729.224,36729.224,2486.064,2486.064,0.88941,0.6187,0.00E+00,,,,,,,0.00E+00,0.00E+00,38689.224,38689.224,2570.064,2570.064,,
RC3.703032887N,703032887N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.4237,RC3.5020,2024-06-04 1:23:55,2024-06-06 6:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.SPOT,RC3.SPOT_TL_RATEOFFERING,RC3.SPOT_WI531-UT840_53_REF,,,N,B,,LB,CUFT,30,0,6498,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,R,RC3.SPOT,RC3.12_00 PM STO BULK PLAN-20240528170023,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-03 5:01:00,2024-06-04 4:59:00,,,N,RC3.53_REF,,,BOOKED,,,UTILIZATION_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.SPOT_TL_RATEOFFERING,TL,RC3.SPOT,RC3.SPOT_WI531-UT840_53_REF,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.UAFIREOTMRC3ADM,2024-05-28 17:03:28,RC3.ADMIN,2024-05-28 17:04:11,RC3.CAG_OB,,,,,,RC3.OUTBOUND_STO,,1,,,,,20240606 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,2600,2600,2600,2600,,,1354,1354,0.00E+00,0.00E+00,39544.756,39544.756,2779.578,2779.578,2600,2600,37444.756,37444.756,2689.578,2689.578,0.87877,0.79417,0.00E+00,,,,,,,0.00E+00,0.00E+00,39544.756,39544.756,2779.578,2779.578,,
RC3.703031385N,703031385N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.2105,RC3.3877,2024-06-07 6:22:36,2024-06-07 7:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.SOAK,RC3.SOAK_TL_RATEOFFERING,RC3.SOAK_2105-3877_53_DRY,,,N,B,,LB,CUFT,19,0,2128,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.SOAK,RC3.20240528-0006,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-06 7:01:00,2024-06-07 6:59:00,,,N,RC3.53_DRY,,,ACCEPTED,,,UTILIZATION_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.SOAK_TL_RATEOFFERING,TL,RC3.SOAK,RC3.SOAK_2105-3877_53_DRY,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZJS1237,2024-05-28 12:06:10,RC3.ADMIN,2024-05-28 12:06:31,RC3.CAG_OB,,,,,,RC3.OUTBOUND_STO,,1,,,,,20240607 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000002700050008,,,0.01,0.01,0.01,0.01,,,16,16,0.00E+00,0.00E+00,44770.992,44770.992,1042.264,1042.264,0.01,0.01,43440.992,43440.992,985.264,985.264,0.97328,0.27428,0.00E+00,,,,,,,0.00E+00,0.00E+00,44770.992,44770.992,1042.264,1042.264,,
