client,material_num,plant,batch_num,special_stock_ind,vendor_account_num,current_period_fiscal_year,current_period,lblab,lbins,lbein,lbuml,is_quarantined
100,000000000001000278,3451,0000004237,O,0001008128,2009,1,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000005783,O,0001008128,2009,2,169329.731,0.000,0.000,0.000,false
100,000000000001000278,3451,0000005783,O,0001008128,2009,10,0.168,0.000,0.000,0.000,false
100,000000000001000278,3451,0000005854,O,0001008128,2009,1,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000006087,O,0001008128,2009,1,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000008697,O,0001008128,2009,2,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000010522,O,0001008128,2009,2,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000010871,O,0001008128,2009,3,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000012407,O,0001008128,2009,3,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000012958,O,0001008128,2009,4,170260.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000020387,O,0001008128,2009,8,377529.200,0.000,0.000,0.000,false
100,000000000001000278,3451,0000020426,O,0001008128,2009,7,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000021698,O,0001008128,2009,8,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000025378,O,0001008128,2009,10,228982.075,0.000,0.000,0.000,false
100,000000000001000278,3451,0000030843,O,0001008128,2009,11,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000054282,O,0001008128,2009,12,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000073469,O,0001008128,2010,3,196996.250,0.000,0.000,0.000,false
100,000000000001000278,3451,0000084529,O,0001008128,2010,9,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000112721,O,0001008128,2010,6,280957.500,0.000,0.000,0.000,false
100,000000000001000278,3451,0000149018,O,0001008128,2010,10,19580.560,0.000,0.000,0.000,false
100,000000000001000278,3451,0000233104,O,0001008128,2010,10,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000240738,O,0001008128,2010,11,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000249494,O,0001008128,2011,1,224931.508,0.000,0.000,0.000,false
100,000000000001000278,3451,0000311274,O,0001008128,2011,7,0.000,0.000,0.000,0.000,false
