client,material_num,plant,storage_location,batch_num,current_period_fiscal_year,current_period,clabs,cumlm,cinsm,ceinm,cspem,cretm,is_quarantined
100,000000000001000005,0549,0003,0001225627,2018,9,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001229634,2018,10,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001233547,2018,10,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001237381,2018,10,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001239461,2018,11,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001243507,2018,11,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001245848,2018,11,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001250397,2018,12,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001254019,2018,12,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001257226,2019,1,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001264784,2019,2,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001268286,2019,2,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001271376,2019,2,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001274247,2019,2,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001276174,2019,3,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001293524,2019,4,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001295693,2019,4,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001299737,2019,5,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001300745,2019,5,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001303504,2019,5,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001305179,2019,5,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001313955,2019,6,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001316705,2019,7,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001318773,2019,7,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001320786,2019,7,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001326661,2019,8,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001332620,2019,9,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001333970,2019,9,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001335641,2019,9,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001338652,2019,9,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001340296,2019,9,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001341952,2019,10,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001342270,2019,10,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001344775,2019,10,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001346146,2019,10,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001347516,2019,10,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001349588,2019,11,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001350848,2019,11,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001354760,2019,11,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001357827,2019,12,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001361179,2019,12,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001365396,2020,1,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001366374,2020,1,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001367290,2020,1,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001368724,2020,1,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001370199,2020,1,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000005,0549,0003,0001374973,2020,2,0.000,0.000,0.000,0.000,0.000,0.000,false
