order_release_gid,order_release_xid,order_release_name,order_release_type_gid,is_template,order_base_gid,source_location_gid,dest_location_gid,early_pickup_date,late_pickup_date,early_delivery_date,late_delivery_date,fixed_itinerary_gid,assigned_itinerary_gid,fixed_sell_itinerary_gid,ship_unit_origin,total_weight,total_weight_uom_code,total_weight_base,total_volume,total_volume_uom_code,total_volume_base,total_packaging_unit_count,total_item_package_count,max_length,max_length_uom_code,max_length_base,max_width,max_width_uom_code,max_width_base,max_height,max_height_uom_code,max_height_base,plan_from_location_gid,plan_to_location_gid,assigned_sell_itinerary_gid,indicator,bulk_plan_gid,best_direct_cost_buy,best_dircost_buy_currency_gid,best_direct_cost_buy_base,best_direct_cost_sell,best_dircost_sell_currency_gid,best_direct_cost_sell_base,best_direct_rateoffer_gid_buy,best_direct_rateoffer_gid_sell,buy_general_ledger_gid,sell_general_ledger_gid,total_net_weight,total_net_weight_uom_code,total_net_weight_base,total_net_volume,total_net_volume_uom_code,total_net_volume_base,sell_bulk_plan_gid,total_ship_unit_count,load_point,unload_point,pickup_is_appt,delivery_is_appt,plan_from_load_point,plan_to_unload_point,user_defined1_icon_gid,user_defined2_icon_gid,user_defined3_icon_gid,user_defined4_icon_gid,user_defined5_icon_gid,external_system_id,payment_method_code_gid,inco_term_gid,term_location_text,planning_group_gid,time_window_emphasis_gid,is_known_shipper,dim_rate_factor_gid,release_method_gid,final_inco_term,final_text_location,inspection_number,inspection_schedule_date,inspection_date,survey_lay_can_date,loc_number,loc_issue_date,loc_received_date,loc_latest_shipping_date,loc_negotiated_days,loc_amount,loc_amount_currency_gid,loc_amount_base,loc_advising_number,loc_confirming_number,src_location_override_gid,dest_location_override_gid,plan_from_loc_override_gid,plan_to_loc_override_gid,secondary_t_weight,secondary_t_weight_uom_code,secondary_t_weight_base,secondary_t_volume,secondary_t_volume_uom_code,secondary_t_volume_base,rate_service_profile_gid,servprov_gid,servprov_profile_gid,transport_mode_gid,mode_profile_gid,equipment_group_gid,equipment_group_profile_gid,rate_offering_gid,rate_geo_gid,sell_rate_offering_gid,sell_rate_geo_gid,must_ship_direct,must_ship_thru_x_dock,must_ship_thru_pool,ship_with_group,primary_leg_source_loc_gid,prim_leg_src_loc_override_gid,port_of_load_location_gid,port_of_load_loc_override_gid,port_of_dis_location_gid,port_of_dis_loc_override_gid,primary_leg_dest_loc_gid,prim_leg_dest_override_loc_gid,import_license_required,import_license_issue_date,import_license_receive_date,import_license_expiration_date,import_license_number,loc_expiration_date,is_loc_required,inspection_required,unitization_condition_name,stuff_location_gid,destuff_location_gid,customer_unitization_request,default_stowage_mode,consolidation_type_gid,move_perspective_gid,quote_gid,commercial_payment_code_gid,is_loc_stale,ult_dest_country_code3_gid,template_type,bundling_type,is_consolidate_or_equipment,duty_paid,quote_option_number,partition_gid,total_declared_value,total_declared_value_gid,total_declared_value_base,buy_itinerary_profile_gid,sell_itinerary_profile_gid,buffer_type,sell_servprov_gid,sell_servprov_profile_gid,is_ignore_location_calendar,rate_service_gid,ship_unit_width,ship_unit_width_uom_code,ship_unit_width_base,ship_unit_length,ship_unit_length_uom_code,ship_unit_length_base,ship_unit_height,ship_unit_height_uom_code,ship_unit_height_base,ship_unit_diameter,ship_unit_diameter_uom_code,ship_unit_diameter_base,transport_handling_unit_gid,on_rt_execution,is_splittable,pickup_routing_sequence_gid,dropoff_routing_sequence_gid,latest_est_delivery_date,otm_version,priority,latest_est_pickup_date,marked_for_purge,pickup_rail_carrier,delivery_rail_carrier,equipment_type_gid,domain_name,insert_user,insert_date,update_user,update_date,rail_route_code_gid,em_phone_number,leg_consolidation_group_gid,is_pre_entered_pu,routing_constraint_gid,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute_number1,attribute_number2,attribute_number3,attribute_number4,attribute_number5,attribute_number6,attribute_number7,attribute_number8,attribute_number9,attribute_number10,attribute_date1,attribute_date2,attribute_date3,attribute_date4,attribute_date5,attribute_date6,attribute_date7,attribute_date8,attribute_date9,attribute_date10,attribute_currency1,attribute_currency1_gid,attribute_currency1_base,attribute_currency2,attribute_currency2_gid,attribute_currency2_base,attribute_currency3,attribute_currency3_gid,attribute_currency3_base,allocation_group_gid,earliest_est_pickup_date,job_name,load_date,attribute_date11,attribute_date12,attribute_date13,attribute_date14,attribute_date15,attribute_date16,attribute_date17,attribute_date18,attribute_date19,attribute_date20,attribute_number11,attribute_number12,attribute_number13,attribute_number14,attribute_number15,attribute_number16,attribute_number17,attribute_number18,attribute_number19,attribute_number20,early_sail_date,external_voyage_code,is_direct_voyage,is_topoff,late_sail_date,voyage_gid
RC3.4504021609,4504021609,"",RC3.OUTBOUND_STO,N,"",RC3.5673,RC3.5129,2024-06-11 04:01:00.000000,2024-06-12 03:59:00.000000,2024-06-12 04:01:00.000000,2024-06-13 03:59:00.000000,"","","","",27489.600000000002000,LB,27489.600000000002000,2148.200000000000300,CUFT,2148.200000000000300,"",4600,"","","","","","","","","","","","","","","","","","","","","","",RC3.504096,"",24269.600000000002000,LB,24269.600000000002000,2010.200000000000000,CUFT,2010.200000000000000,"",46.000000000000000,"","",N,N,"","","","","","","","","","","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 15:55:04.000000,RC3.ADMIN,2024-05-28 16:16:17.000000,"","","",N,"","","","","","","","","","","",CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","",0E-15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:29.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0012036357,0012036357,"",RC3.CPU,N,"",RC3.3880,RC3.0020014348_1100VALLEYRD_53066_USA,2024-06-15 05:01:00.000000,2024-06-16 04:59:00.000000,"","","",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"","",15591.663000000004000,LB,15591.663000000004000,1381.012999999999700,CUFT,1381.012999999999700,"",1787,"","","","","","","","","","",RC3.0020014348,"",G,RC3.CPU PLAN FOR ORDER WITH SHIP WITH-20240528153020,"","","","","","","","",RC3.504004,"",13625.223000000002000,LB,13625.223000000002000,1296.736999999999900,CUFT,1296.736999999999900,"",35.000000000000000,"","",N,N,"","",TENDERED,"","","","","",COL,FOB,ORIGIN,"","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"",RC3.CPU,"","","","","","","","","",N,N,N,40728369,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","",Y,"","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 14:37:12.000000,RC3.ADMIN,2024-05-28 15:31:31.000000,"","","",N,"","","","","","","","","","",RC3.703032210N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","",28.092000000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:27.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.4504021777,4504021777,"",RC3.OUTBOUND_STO,N,"",RC3.2101,RC3.3875,2024-05-30 04:01:00.000000,2024-05-31 03:59:00.000000,2024-06-06 04:01:00.000000,2024-06-07 03:59:00.000000,"","","","",44016.159999999996000,LB,44016.159999999996000,1001.680000000000000,CUFT,1001.680000000000000,"",1672,"","","","","","","","","","","","","","","","","","","","","","",RC3.504096,"",42686.159999999996000,LB,42686.159999999996000,944.680000000000000,CUFT,944.680000000000000,"",19.000000000000000,"","",N,N,"","","","","","","","","","","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",INTERMODAL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 17:37:27.000000,RC3.ADMIN,2024-05-28 17:37:30.000000,"","","",N,"","","","","","","","","","","",CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","",0E-15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:29.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0012042461,0012042461,"",RC3.CPU,N,"",RC3.5687,RC3.0020000825_KENTUCKYDISTRIB_40223_USA,2024-06-05 04:01:00.000000,2024-06-06 03:59:00.000000,"","","","","","",37887.640000000014000,LB,37887.640000000014000,2336.966000000001000,CUFT,2336.966000000001000,"",4373,"","","","","","","","","","","","","","","","","","","","","","",RC3.504004,"",35199.709999999990000,LB,35199.709999999990000,2221.769000000000200,CUFT,2221.769000000000200,"",56.000000000000000,"","",N,N,"","","","","","","","",COL,FOB,ORIGIN,"","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"",RC3.CPU,RC3.NON_CPU,"","","","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","",Y,"","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 13:07:03.000000,RC3.ADMIN,2024-05-28 13:07:08.000000,"","","",N,"","","","","","","","","","","",CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","",38.399000000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:28.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004551698-001,0004551698-001,"",RC3.INBOUND_PO,N,RC3.0004551698,RC3.0001037990,RC3.21010003,2024-05-28 21:31:55.000000,"",2024-06-14 04:01:00.000000,2024-06-15 03:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,7128000.000000000000000,LB,7128000.000000000000000,475200.000000000000000,CUFT,475200.000000000000000,"",158400,"","","","","","","","","","",RC3.2101,"",G,"","","","","","","","","",RC3.538098,"",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"",158400.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004551698,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000009876543210,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2024-05-28 17:31:53.000000,RC3.ADMIN,2024-05-28 17:32:03.000000,"","","",N,"","","","","","","","","","",RC3.703033163N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:26.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0012038924,0012038924,"",RC3.OUTBOUND_SO,N,"",RC3.3878,RC3.0020016533_21345JOHNSONROA_92307_USA,2024-06-05 07:01:00.000000,2024-06-06 06:59:00.000000,2024-06-05 07:01:00.000000,2024-06-06 06:59:00.000000,"",RC3.USA_USA_TL_IM_LTL_POOL,"","",25.469000000000000,LB,25.469000000000000,0.620000000000000,CUFT,0.620000000000000,"",1,"","","","","","","","","","",RC3.0020016531,"",G,RC3.20240528-0082,"","","","","","","","",RC3.504004,"",24.769000000000000,LB,24.769000000000000,0.590000000000000,CUFT,0.590000000000000,"",1.000000000000000,"","",N,N,"","",TENDERED,"","","","","",COL,FOB,ORIGIN,"","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"","","","","","","","",N,N,N,7181275994,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 16:19:28.000000,RC3.ADMIN,2024-05-28 16:30:32.000000,"","","",N,"","","","","","","","","","",RC3.703032606N,CAG,"","",ORDER_CREATE_SUCCESS,WALM,"","","","","",0.010000000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:27.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.4504021359,4504021359,"",RC3.OUTBOUND_STO,N,"",RC3.4281,RC3.3752,2024-05-31 04:01:00.000000,2024-06-01 03:59:00.000000,2024-06-03 05:01:00.000000,2024-06-04 04:59:00.000000,"",RC3.USA_USA_TL_IM_LTL_POOL,"","",42683.899999999994000,LB,42683.899999999994000,926.236000000000100,CUFT,926.236000000000100,"",1885,"","","","","","","","","","","","",G,RC3.20240528-0052,"","","","","","","","",RC3.504096,"",41423.899999999994000,LB,41423.899999999994000,872.236000000000100,CUFT,872.236000000000100,"",18.000000000000000,"","",N,N,"","",TENDERED,"","","","","","","","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 14:37:44.000000,RC3.ADMIN,2024-05-28 17:29:41.000000,"","","",N,"","","","","","","","","","",RC3.703032020N,CAG,"","",ORDER_CREATE_SUCCESS,SPOT,"","","","","",0E-15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:29.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.4504021264,4504021264,"",RC3.OUTBOUND_STO,N,"",RC3.5053,RC3.3880,2024-06-07 04:01:00.000000,2024-06-08 03:59:00.000000,2024-06-08 05:01:00.000000,2024-06-09 04:59:00.000000,"",RC3.USA_USA_TL_IM_LTL_POOL,"","",39600.000000000000000,LB,39600.000000000000000,165.055000000000000,CUFT,165.055000000000000,"",55,"","","","","","","","","","","","",G,RC3.20240528-0048,"","","","","","","","",RC3.504096,"",35750.000000000000000,LB,35750.000000000000000,0.055000000000000,CUFT,0.055000000000000,"",55.000000000000000,"","",N,N,"","",TENDERED,"","","","","","","","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"",RC3.RCTH,RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","",N,"","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 14:01:02.000000,RC3.ADMIN,2024-05-28 14:51:38.000000,"","","",N,"","","","","","","","","","",RC3.703031917N,CAG,"","",ORDER_CREATE_SUCCESS,RCTH,"","","","","",0E-15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:29.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004551832-002,0004551832-002,"",RC3.INBOUND_PO,N,RC3.0004551832,RC3.0001048521,RC3.42370003,2024-05-28 22:02:02.000000,"",2024-06-12 05:01:00.000000,2024-06-13 04:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,464.445000000000050,LB,464.445000000000050,30.963000000000000,CUFT,30.963000000000000,"",1012078,"","","","","","","","","","",RC3.4237,"",G,"","","","","","","","","",RC3.538098,"",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"",11.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004551832,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000009876543210,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2024-05-28 18:02:00.000000,RC3.ADMIN,2024-05-28 18:02:10.000000,"","","",N,"","","","","","","","","","",RC3.703033317N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:26.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.4500010553,4500010553,"",RC3.OUTBOUND_STO,N,"",RC3.5011,RC3.6211,2024-06-11 04:01:00.000000,2024-06-12 03:59:00.000000,2024-06-12 04:01:00.000000,2024-06-13 03:59:00.000000,"",RC3.CAG_CANADA,"","",53361.308000000005000,LB,53361.308000000005000,1103.388000000000100,CUFT,1103.388000000000100,"",3276,"","","","","","","","","",RC3.5011,"","",G,RC3.20240528-0092,"","","","","","","","",RC3.504096,"",51541.308000000000000,LB,51541.308000000000000,1025.388000000000100,CUFT,1025.388000000000100,"",26.000000000000000,"","",N,N,"","",TENDERED,"","","","","","","","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 14:58:01.000000,RC3.ADMIN,2024-05-28 17:32:02.000000,"","","",N,"","","","","","","","","","",RC3.703032926N,CAN,"","",ORDER_CREATE_SUCCESS,ICBT,"","","","","",26.000000000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:28.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.4504021303,4504021303,"",RC3.OUTBOUND_STO,N,"",RC3.2247,RC3.5681,2024-06-04 05:01:00.000000,2024-06-05 04:59:00.000000,2024-06-05 04:01:00.000000,2024-06-06 03:59:00.000000,"",RC3.USA_USA_TL_IM_LTL_POOL,"","",43244.080000000000000,LB,43244.080000000000000,949.080000000000000,CUFT,949.080000000000000,"",1320,"","","","","","","","","","","","",G,RC3.12_00 PM STO BULK PLAN-20240528170023,"","","","","","","","",RC3.504096,"",41704.080000000000000,LB,41704.080000000000000,883.080000000000000,CUFT,883.080000000000000,"",22.000000000000000,"","",N,N,"","",TENDERED,"","","","","","","","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 14:07:31.000000,RC3.ADMIN,2024-05-28 17:39:44.000000,"","","",N,"","","","","","","","","","",RC3.703032963N,CAG,"","",ORDER_CREATE_SUCCESS,ARIE,"","","","","",0E-15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:29.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004551721-001,0004551721-001,"",RC3.INBOUND_PO,N,RC3.0004551721,RC3.0003063185,RC3.56280001,2024-05-28 22:49:32.000000,"",2024-06-26 05:01:00.000000,2024-06-27 04:59:00.000000,"","","",BS,34350.000000000000000,LB,34350.000000000000000,91.290000000000000,CUFT,91.290000000000000,"",33000,"","","","","","","","","","",RC3.5628,"","","","","","","","","","","",RC3.538098,"",33000.000000000000000,LB,33000.000000000000000,1.290000000000000,CUFT,1.290000000000000,"",30.000000000000000,"","",N,N,"","",SHIPMENT,"","","","","",COL,FOB,ORIGIN,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,RC3.53_REF,"","","","","",N,N,N,0004551721,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000009876543210,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2024-05-28 17:49:30.000000,RC3.ADMIN,2024-05-28 17:49:33.000000,"","","",N,"","","","","","","","","","","",CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:26.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004551175-001,0004551175-001,"",RC3.INBOUND_PO,N,RC3.0004551175,RC3.0003008906,RC3.52890001,2024-05-28 19:07:12.000000,"",2024-06-08 05:01:00.000000,2024-06-09 04:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,61083.600000000000000,LB,61083.600000000000000,4026.600000000000400,CUFT,4026.600000000000400,"",1800,"","","","","","","","","","",RC3.5289,"",G,"","","","","","","","","",RC3.538098,"",50583.600000000000000,LB,50583.600000000000000,3576.600000000000400,CUFT,3576.600000000000400,"",150.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004551175,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2024-05-28 14:07:09.000000,RC3.ADMIN,2024-05-28 14:07:59.000000,"","","",N,"","","","","","","","","","",RC3.703031868N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:26.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004551175-006,0004551175-006,"",RC3.INBOUND_PO,N,RC3.0004551175,RC3.0003008906,RC3.52890001,2024-05-28 19:07:12.000000,"",2024-06-04 05:01:00.000000,2024-06-05 04:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,284234.382000000000000,LB,284234.382000000000000,13520.802000000000000,CUFT,13520.802000000000000,"",34625,"","","","","","","","","","",RC3.5289,"",G,"","","","","","","","","",RC3.538098,"",263196.948000000000000,LB,263196.948000000000000,12619.146000000000000,CUFT,12619.146000000000000,"",300.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004551175,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2024-05-28 14:07:10.000000,RC3.ADMIN,2024-05-28 14:07:59.000000,"","","",N,"","","","","","","","","","",RC3.703031871N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:26.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
