client,material_number,valuation_area,valuation_type,current_period_fiscal_year,current_period,total_valued_stock,value_of_total_valuated_stock,price_control_indicator,moving_average_price,standard_price,price_unit,valuation_class,moving_average_price_value,total_valued_stock_sales_price,is_quarantined
100,000000000000010655,7005, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010655,7010, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010655,7147, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010655,7153, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010655,7185, ,2011,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010656,7013, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010656,7029, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010656,7048, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010656,7142, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010656,7144, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010656,7153, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010656,7172, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010656,7178, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010656,7179, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010656,7181, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010657,7042, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010657,7138, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010657,7150, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010657,7154, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010657,7154, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010657,7174, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010658,7029, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010658,7045, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010658,7045, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010658,7062, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010658,7137, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010658,7149, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010659,7150, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010661,7003, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010661,7025, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010661,7040, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010661,7042, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010661,7138, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010661,7153, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010661,7162, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010661,7180, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010661,7181, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010662,7142, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
