client,material_num,plant,storage_location,batch_num,special_stock_ind,vendor_account_num,current_period_fiscal_year,current_period,slabs,sinsm,seinm,sspem,is_quarantined
100,000000000001020155,5401,0001,5401111820,K,0001026611,2021,11,0.000,0.000,0.000,0.000,false
100,000000000001020155,5401,0001,5401113720,K,0001026611,2021,11,0.000,0.000,0.000,0.000,false
100,000000000001020155,5401,0001,5401116020,K,0001026611,2021,12,0.000,0.000,0.000,0.000,false
100,000000000001020155,5401,0001,5401116220,K,0001026611,2022,5,13.000,0.000,0.000,0.000,false
100,000000000001020155,5401,0001,5401123920,K,0001026611,2022,3,0.000,0.000,0.000,0.000,false
100,000000000001020155,5401,0001,5401124220,K,0001026611,2022,3,0.000,0.000,0.000,0.000,false
100,000000000001020155,5401,0001,5401124320,K,0001026611,2022,3,0.000,0.000,0.000,0.000,false
100,000000000001020155,5401,0001,5401126320,K,0001026611,2022,3,0.000,0.000,0.000,0.000,false
100,000000000001020155,5401,0001,5401126420,K,0001026611,2022,3,0.000,0.000,0.000,0.000,false
100,000000000001020155,5401,0001,5401128520,K,0001026611,2022,4,0.000,0.000,0.000,0.000,false
100,000000000001020155,5401,0001,5401133420,K,0001026611,2022,10,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401016120,K,0001026611,2020,12,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401017720,K,0001026611,2021,1,2879.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401018920,K,0001026611,2021,1,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401019220,K,0001026611,2021,1,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401019420,K,0001026611,2021,1,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401019420,K,0001026611,2021,2,1232.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401019420,K,0001026611,2021,3,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401019520,K,0001026611,2021,1,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401019520,K,0001026611,2021,2,816.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401019620,K,0001026611,2021,2,468.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401019720,K,0001026611,2021,2,432.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401020520,K,0001026611,2021,2,2766.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401020720,K,0001026611,2021,2,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401020820,K,0001026611,2021,2,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401020920,K,0001026611,2021,2,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401022720,K,0001026611,2021,2,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401024520,K,0001026611,2021,3,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401024620,K,0001026611,2021,3,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401025220,K,0001026611,2021,3,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401026720,K,0001026611,2021,3,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401026820,K,0001026611,2021,4,7000.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401028620,K,0001026611,2021,4,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401029020,K,0001026611,2021,5,277.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401032320,K,0001026611,2021,5,0.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401032320,K,0001026611,2021,8,72.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401032520,K,0001026611,2021,8,7.000,0.000,0.000,0.000,false
100,000000000001020157,5401,0001,5401035620,K,0001026611,2021,6,0.000,0.000,0.000,0.000,false
