client,material_number,plant,current_period_fiscal_year,current_period,stock_in_transfer,stock_in_transit,stock_transfer_sales_value,transit_value_at_sales_price,tied_empties_stock,tied_empties_stock_sales_value,valuated_goods_receipt_blocked_stock,is_quarantined
100,000000000000000373,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000374,4273,2022,5,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000378,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000383,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000386,4270,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000388,4273,2022,5,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000390,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000393,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000396,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000398,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000399,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000401,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000406,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000407,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000410,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000415,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000416,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000418,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000421,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000423,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000426,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000427,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000429,4273,2022,5,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000431,4273,2022,5,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000432,4270,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
