client,material_num,plant,storage_location,batch_num,special_stock_ind,vendor_account_num,lvorm,ersda,ernam,aenam,laeda,lfgja,lfmon,spers,slabs,sinsm,seinm,sspem,svmla,svmin,svmei,svmsp,kzisl,kzisq,kzise,kziss,kzvsl,kzvsq,kzvse,kzvss,mmeng,ameng,kodll,kojin,korue,is_quarantined
100,000000000001020155,5401,0001,5401026120,K,0001026611, ,2020-09-18 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,4, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020155,5401,0001,5401027520,K,0001026611, ,2020-10-02 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,5, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020155,5401,0001,5401028020,K,0001026611, ,2020-10-07 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,7, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020155,5401,0001,5401034520,K,0001026611, ,2020-12-11 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,6, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020155,5401,0001,5401101120,K,0001026611, ,2021-01-12 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,8, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020155,5401,0001,5401101220,K,0001026611, ,2021-01-13 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,8, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020155,5401,0001,5401102220,K,0001026611, ,2021-01-25 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,9, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020155,5401,0001,5401116220,K,0001026611, ,2021-06-14 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,6, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022, ,false
100,000000000001020155,5401,0001,5401116620,K,0001026611, ,2021-06-16 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,2, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022,X,false
100,000000000001020155,5401,0001,5401124220,K,0001026611, ,2021-08-31 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,5, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022,X,false
100,000000000001020155,5401,0001,5401124520,K,0001026611, ,2021-09-03 05:00:00.000000,Q003381, ,1900-01-01 06:00:00.000000,2022,5, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022,X,false
100,000000000001020155,5401,0001,5401133420,K,0001026611, ,2021-12-01 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,11, ,508.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022, ,false
100,000000000001020155,5401,0001,5401134120,K,0001026611, ,2021-12-08 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,7, ,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022, ,false
100,000000000001020155,5401,0001,5401134320,K,0001026611, ,2021-12-10 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,11, ,764.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022, ,false
100,000000000001020157,5401,0001,5401017120,K,0001026611, ,2020-06-22 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,2, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
